Date,Complaint,total,companies,highest company percentage
2015,virtual currency,,7,1,100
2017,consumer loan,,3557,425,8.23728
2014,debt collection,,39139,1756,6.37983
2016,bank account or service,,21848,230,14.848
2016,credit card,,21065,221,20.9827
2013,payday loan,,194,31,13.4021
2016,mortgage,,41466,766,13.628
2016,payday loan,,1565,213,16.6773
2015,mortgage,,42345,680,12.0463
2017,credit card or prepaid card,,15404,170,15.4116
2014,other financial service,,116,38,12.069
2014,payday loan,,1706,159,17.0574
2017,mortgage,,30577,772,11.8815
2019,credit card or prepaid card,,25835,245,14.6429
2018,debt collection,,51185,2250,4.74358
2014,bank account or service,,14662,258,16.553
2020,"payday loan, title loan, or personal loan",,880,246,5.56818
2018,"payday loan, title loan, or personal loan",,4368,470,4.69322
2018,"money transfer, virtual currency, or money service",,5433,235,30.3147
2020,debt collection,,10333,1247,4.05497
2018,student loan,,8776,200,45.9891
2012,student loan,,2840,53,42.3944
2020,vehicle loan or lease,,1197,153,10.7769
2012,mortgage,,38109,382,30.8641
2013,mortgage,,49400,454,25.1174
2015,student loan,,4501,171,36.9696
2017,vehicle loan or lease,,3694,249,13.2648
2019,"money transfer, virtual currency, or money service",,5088,266,26.1989
2018,checking or savings account,,21211,214,16.1379
2013,consumer loan,,3117,159,11.7421
2020,checking or savings account,,4553,163,15.7479
2017,student loan,,17173,231,63.4426
2016,credit reporting,,44081,182,35.9565
2019,mortgage,,22708,672,9.09371
2014,mortgage,,42961,495,14.0057
2020,"money transfer, virtual currency, or money service",,1040,122,20.4808
2019,debt collection,,46403,2121,4.16999
2019,"credit reporting, credit repair services, or other personal consumer reports",,138595,1334,28.6497
2012,bank account or service,,12212,98,18.5965
2018,vehicle loan or lease,,5892,315,12.2709
2011,mortgage,,1276,66,32.837
2016,debt collection,,40467,2135,3.63506
2020,credit card or prepaid card,,6064,130,16.3918
2017,debt collection,,47954,2240,4.08517
2019,vehicle loan or lease,,5489,324,12.4795
2013,credit reporting,,14380,203,36.4256
2020,student loan,,1288,105,32.9969
2019,student loan,,7212,192,40.7099
2018,mortgage,,24576,702,12.3698
2017,credit card,,7133,127,17.8326
2015,money transfers,,1619,79,31.8098
2016,consumer loan,,9601,665,7.41589
2017,"credit reporting, credit repair services, or other personal consumer reports",,73394,1020,34.5314
2019,checking or savings account,,21740,253,15.2714
2019,"payday loan, title loan, or personal loan",,4323,483,4.09438
2015,debt collection,,39724,2136,5.15306
2015,other financial service,,312,99,10.2564
2018,"credit reporting, credit repair services, or other personal consumer reports",,111627,1307,26.0224
2012,credit reporting,,1873,31,38.2274
2020,mortgage,,4730,340,8.43552
2017,"money transfer, virtual currency, or money service",,3266,178,32.4862
2017,"payday loan, title loan, or personal loan",,2958,392,6.42326
2017,payday loan,,493,107,11.7647
2014,credit card,,13974,178,17.1247
2015,bank account or service,,17140,215,17.0653
2016,student loan,,8087,231,34.4009
2015,payday loan,,1585,243,8.32808
2015,credit card,,17300,225,17.2601
2013,bank account or service,,13388,164,17.8667
2017,bank account or service,,6956,174,15.6555
2014,money transfers,,1169,67,32.3353
2016,virtual currency,,7,2,57.1429
2015,credit reporting,,34272,237,34.9031
2016,other financial service,,465,154,5.37634
2014,virtual currency,,1,1,100
2015,prepaid card,,1784,48,41.5359
2016,money transfers,,1567,80,25.335
2012,credit card,,15353,76,19.9505
2013,student loan,,3005,91,45.5907
2018,credit card or prepaid card,,24249,252,14.9944
2014,prepaid card,,336,29,22.0238
2017,credit reporting,,16587,403,30.2526
2014,student loan,,4283,137,44.1746
2016,prepaid card,,1250,51,20.88
2014,credit reporting,,29239,214,34.8849
2015,consumer loan,,7886,599,8.50875
2017,other financial service,,166,76,6.62651
2017,prepaid card,,449,30,19.3764
2017,checking or savings account,,12763,183,17.1746
2017,money transfers,,440,46,26.8182
2013,debt collection,,11069,984,8.58253
2011,credit card,,1260,33,18.8095
2014,consumer loan,,5457,358,8.28294
2013,credit card,,13105,108,19.2827
2012,consumer loan,,1986,84,18.9325
2013,money transfers,,559,58,29.517
2020,"credit reporting, credit repair services, or other personal consumer reports",,39841,673,31.2869
2017,virtual currency,,3,1,100
